Step,Body,X,Y,Z,Mass
0,0,0,0,0,1989000000000000000000000000000
0,1,149600000000,0,0,5972000000000000000000000
0,2,149984400000,0,0,73476730900000000000000
1,0,134.5778397915634,0,0,1989000000000000000000000000000
1,1,149555968037.74054,2572992000,0,5972000000000000000000000
1,2,149920210362.35333,2661292800,0,73476730900000000000000
2,0,403.7534015472788,2.3165380491464473,0,1989000000000000000000000000000
2,1,149467903227.50854,5145283493.123585,0,5972000000000000000000000
2,2,149791364869.2198,5316812791.267141,0,73476730900000000000000
3,0,807.5066346524361,9.267522001128293,0,1989000000000000000000000000000
3,1,149335800404.14902,7716178660.749598,0,5972000000000000000000000
3,2,149598826097.15085,7960369035.393272,0,73476730900000000000000
4,0,1345.7774920579832,23.17154051668266,0,1989000000000000000000000000000
4,1,149159646694.78885,10284980323.730251,0,5972000000000000000000000
4,2,149345265781.49146,10585862744.774015,0,73476730900000000000000
5,0,2018.465879273275,46.347171088951924,0,1989000000000000000000000000000
5,1,148939421005.90277,12850981778.906397,0,5972000000000000000000000
5,2,149035107887.08875,13187969521.29538,0,73476730900000000000000
6,0,2825.4316157431554,81.11228508022054,0,1989000000000000000000000000000
6,1,148675097710.11,15413458290.38162,0,5972000000000000000000000
6,2,148674230000.45355,15762849736.237518,0,73476730900000000000000
7,0,3766.49440815695,129.78334988466023,0,1989000000000000000000000000000
7,1,148366654506.04474,17971660760.668797,0,5972000000000000000000000
7,2,148269325222.1799,18308681813.541695,0,73476730900000000000000
8,0,4841.433835221378,194.6747285307534,0,1989000000000000000000000000000
8,1,148014082750.2718,20524813750.21383,0,5972000000000000000000000
8,2,147827062827.58047,20825842157.45246,0,73476730900000000000000
9,0,6049.989343643921,278.0979772256503,0,1989000000000000000000000000000
9,1,147617397505.45203,23072118531.92401,0,5972000000000000000000000
9,2,147353271686.32498,23316675903.62745,0,73476730900000000000000
10,0,7391.860255432304,382.3611414296256,0,1989000000000000000000000000000
10,1,147176644770.40024,25612760067.783585,0,5972000000000000000000000
10,2,146852352424.30887,25784948932.859844,0,73476730900000000000000
11,0,8866.705786946442,509.768050995489,0,1989000000000000000000000000000
11,1,146691904638.02933,28145915676.99032,0,5972000000000000000000000
11,2,146327020238.32544,28235162427.62735,0,73476730900000000000000
12,0,10474.145080298653,662.6176147563713,0,1989000000000000000000000000000
12,1,146163290633.48633,30670763157.487144,0,5972000000000000000000000
12,2,145778357840.68045,30671911870.22232,0,73476730900000000000000
13,0,12213.757247655683,843.2031147774936,0,1989000000000000000000000000000
13,1,145590946470.84787,33186486924.2691,0,5972000000000000000000000
13,2,145206077867.39874,33099407241.384224,0,73476730900000000000000
14,0,14085.081428822226,1053.811500370025,0,1989000000000000000000000000000
14,1,144975041702.22058,35692281726.78552,0,5972000000000000000000000
14,2,144608874949.4049,35521189990.29649,0,73476730900000000000000
15,0,16087.616862281408,1296.722681920808,0,1989000000000000000000000000000
15,1,144315767429.24255,38187354245.24069,0,5972000000000000000000000
15,2,143984772347.61682,37940022407.253,0,73476730900000000000000
16,0,18220.822969705867,1574.208824606493,0,1989000000000000000000000000000
16,1,143613332750.3405,40670923201.13532,0,5972000000000000000000000
16,2,143331408423.06268,40357897758.14407,0,73476730900000000000000
17,0,20484.119453859206,1888.5336421060072,0,1989000000000000000000000000000
17,1,142867962179.97153,43142218637.563034,0,5972000000000000000000000
17,2,142646243744.11298,42776117899.16701,0,73476730900000000000000
18,0,22876.8864097736,2241.9516904765374,0,1989000000000000000000000000000
18,1,142079893997.21686,45600480885.52773,0,5972000000000000000000000
18,2,141926692298.97876,45195396406.5285,0,73476730900000000000000
19,0,25398.46444909322,2636.707662401105,0,1989000000000000000000000000000
19,1,141249379351.82483,48044959558.262695,0,5972000000000000000000000
19,2,141170190788.3016,47615959420.17973,0,73476730900000000000000
20,0,28048.15483749399,3075.0356820456923,0,1989000000000000000000000000000
20,1,140376681925.29648,50474912771.63256,0,5972000000000000000000000
20,2,140374222451.3127,50037628095.613205,0,73476730900000000000000
21,0,30825.219645113328,3559.158600781746,0,1989000000000000000000000000000
21,1,139462077961.7327,52889606694.748024,0,5972000000000000000000000
21,2,139536310486.56046,52459874193.39309,0,73476730900000000000000
22,0,33728.881909941454,4091.2872940391617,0,1989000000000000000000000000000
22,1,138505856511.47943,55288315486.306595,0,5972000000000000000000000
22,2,138653993826.08197,54881844287.26043,0,73476730900000000000000
23,0,36758.3258141357,4673.619959559483,0,1989000000000000000000000000000
23,1,137508319747.88077,57670321655.42285,0,5972000000000000000000000
23,2,137724796617.7297,57302349432.91722,0,73476730900000000000000
24,0,39912.696873221306,5308.3414173228375,0,1989000000000000000000000000000
24,1,136469783210.06793,60034916884.83879,0,5972000000000000000000000
